"idattribute","componentid","name","definition","units","value"
"1","56","General Attributes:Processes","Processes included in the Aerosol model.",,"advection (horizontal), advection (vertical), ageing, coagulation, condensation, dry deposition, oxidation (gas phase), oxidation (in cloud), sedimentation, wet deposition (impaction scavenging), wet deposition (nucleation scavenging)"
"2","56","General Attributes:CouplingWith","Other model components coupled to the Aerosol model. This is covered more completely by the coupling archictecture in the questionnaire.",,"Clouds, LandSurface, other, Radiation"
"3","56","General Attributes:GasPhasePrecursors","List of gas phase aerosol precursors.",,"ammonia, DMS, SO2"
"4","56","AerosolScheme:SchemeType","Type(s) of aerosol scheme used by the aerosols model (potentially multiple: some 
species may be covered by one type of aerosol scheme and other species covered by another type).",,"bulk"
"5","56","AerosolScheme:BulkSpecies","List of species covered by the bulk scheme.",,"BC (black carbon / soot), dust, nitrate, POM (particulate organic matter), sea salt, SOA (secondary organic aerosols), sulphate"
"13","52","General Attributes:Method","Method for aerosol transport modeling (different or not from Atmospheric Chemistry one).",,"uses AtmosphericChemistry transport scheme"
"17","52","Turbulence:Method","Method used for turbulence parametrization (different or not from the one of Atmospheric Chemistry?).",,"use same turbulence scheme as AtmosphericChemistry"
"19","53","2D-Emissions:Method","Method used to define aerosol species emitted at the surface (several methods allowed because the different species may not use the same method).",,"interactive, other"
"20","53","2D-Emissions:SourceTypes","Sources of aerosols emitted at the surface that are taken into account in the emissions scheme.",,"anthropogenic, bare ground, other, sea surface"
"24","53","2D-Emissions:InteractivEmittedSpecies","List of aerosol species emitted at the surface and specified via an interactive method.",,"mineral dust, sea-salt, ocean-based DMS"
"25","53","2D-Emissions:MethodCharacteristics","Characteristics of the method used for aerosol emissions at the surface.",,"CMIP5 emission timeseries (monthly from linear interpolation of decadal means)"
"26","53","2D-Emissions:EmittedSpecies","List of aerosol species emitted at the surface and specified via the method described above.",,"sulphur dioxide, ammonia, fossil-fuel black carbon, fossil-fuel organic carbon, biomass-burning"
"27","53","3D-Emissions:Method","Method used to define aerosol species emitted in the atmosphere (several methods allowed because the different species may not use the same method).",,"prescribed (spatially uniform)"
"28","53","3D-Emissions:SourceTypes","Sources of aerosols emitted in the atmosphere that are taken into account in the emissions scheme.",,"other, volcanoes"
"29","53","3D-Emissions:ClimatologyType","Specify the climatology type for aerosols emissions prescribed in the atmosphere.",,"monthly"
"30","53","3D-Emissions:ClimEmittedSpecies","List of aerosol species emitted in the atmosphere and prescribed via a climatology.",,"sulphur dioxide from degassing volcanoes, secondary organic aerosol"
"35","53","Concentrations:PrescribedLowerBoundary","List of species prescribed at the lower boundary.",,"N/A"
"36","53","Concentrations:PrescribedUpperBoundary","List of species prescribed at the upper boundary.",,"N/A"
"37","51","General Attributes:AerosolSchemeScope","Atmospheric domains covered by the aerosol model.",,"whole atmosphere"
"38","51","General Attributes:BasicApproximations","Decription of the basic approximations made in the Aerosol model.",,"Modal scheme, mass as a tracer, number inferred from prescribed size distributions"
"39","51","General Attributes:ListOfPrognosticVariables","Prognostic variables of the aerosol model.",,"3D mass/volume mixing ratio for aerosols"
"40","51","General Attributes:NumberOfTracers","Number of tracers in the aerosol model.",,"21"
"41","51","General Attributes:FamilyApproach","Aerosol calculations are generalised into families of species.",,"no"
"42","51","AerosolTimeStepFramework:Method","Mathematical method deployed to solve the time evolution of the prognostic variables. uses AtmosphericChemistry time stepping: Aerosol model uses the same time-stepping framework as the one of the Atmospheric chemistry model. specific time stepping (operator splitting): The Aerosol model use its own time-step and all the processes are decoupled; the time evolution is calculated sequentially and the tendencies are cumulated. specific time stepping (integrated): The Aerosol model uses its own time-step and all the processes having an impact on the time evolution are taken into account and solved simultaneously.",,"uses AtmosphericChemistry time stepping"
"47","111","General Attributes:BasicApproximations","Description of the basic approximations made in the sea ice model.",,"Multiple ice thickness categories (5 + open water); zero layer thermodynamics; EVP dynamics and ridging scheme"
"48","111","General Attributes:ListOfPrognosticVariables","List of sea ice prognostic variables.",,"Ice concentration (per thickness category), grid box mean ice thickness (per thickness category), grid box mean snow thickness (per thickness category), surface snow or ice temperature (per thickness category), ice velocities, internal ice stress tensors

"
"49","111","SeaIceRepresentation:SchemeType","Type of scheme used to represent sea ice",,"other"
"52","111","SeaIceRepresentation:SeaIceRepresentationScheme",,,"multiple thickness categories"
"53","111","TimeSteppingFramework:Method","Specify what timestep sea-ice operates on",,"use Ocean time step"
"55","113","General Attributes:Rheology","Scheme used to model sea ice rheology",,"EVP"
"56","113","General Attributes:Advection","Specify which advection scheme is used for sea ice",,"other"
"57","113","General Attributes:HorizontalDiscretizationGrid","Specify on which horizontal grid sea-ice is modelled ",,"Ocean grid"
"58","113","General Attributes:AdvectionType",,,"First-order upwind"
"59","113","Redistribution:Type","Specify the process by which sea-ice redistribution is modelled",,"ridging"
"60","113","Redistribution:IceStrengthFormulation","Details for the ice strength formulation.",,"Hibler(1979).  P* =20,000Nm-2 and c=20"
"61","112","General Attributes:WaterPonds","Definition of property name WaterPonds required",,"no"
"62","112","General Attributes:SurfaceAlbedo","Details for surface albedo formulation.",,"Curry et al. (2001) parameterization, with adjustment of Semtner (1987) to compensate for zero layer thermodynamics.  Also, thin and partial snow cover scheme for snow albedo (Cox et al, 1999).  Albedo parameters: bare ice = 0.61; melting deep snow on seaice = 0.65; cold deep snow on seaice = 0.8. "
"63","112","General Attributes:NewIceFormation","Details for the parametrization of new ice formation.",,"Frazil ice forms with a thickness of 5cm when the temperature of the top ocean layer falls below freezing.  The volume of new ice is determined by the heat required to bring the ocean surface temperature back to freezing."
"64","112","Snow:HeatDiffusion","Specify single layer or multi-layer treatment of snow thermodynamics on sea ice ",,"one layer"
"65","112","Snow:SchemeType","Specify which processes are included in the snow thermodynamics scheme ",,"other, snow-ice"
"66","112","Snow:SnowScheme",,,"includes sublimation"
"67","112","Ice:VerticalHeatDiffusion","Describe the treatment of vertical heat diffusion within sea ice",,"one layer"
"68","112","Ice:OceanToIceBasalHeatFlux","Specify how the flux of heat from the ocean to the basal ice is calculated",,"parametrized (calculated in SeaIce)"
"69","112","Ice:BrineInclusions","Definition of property name BrineInclusions required",,"none"
"70","112","Ice:Processes","Definition of property name Processes required",,"other, Surface sublimation"
"71","112","Ice:TransportInThicknessSpace","Specify method of calculating sea ice thickness",,"linear remapping"
"73","112","Ice:IceProcesses",,,"includes snow-ice"
"74","97","General Attributes:ModelFamily","Type of oceanic model.",,"OGCM"
"75","97","General Attributes:BasicApproximations","Basic approximations made in the oceanic model.",,"Boussinesq, non-hydrostatic"
"76","97","General Attributes:ListOfPrognosticVariables","List of the prognostic variables of the model.",,"potential temperature, salinity, SSH, U-velocity, V-velocity"
"77","97","SeaWater:EquationOfState","Formulation for equation of state of sea water.",,"other"
"78","97","SeaWater:FreezingPoint","Hypothesis on sea water freezing point.",,"fixed"
"79","97","SeaWater:SpecificHeat","Hypothesis on sea water specific heat.",,"fixed"
"80","97","SeaWater:FreezingPointValue","Sea water freezing temperature.","degC","-1.8"
"82","97","SeaWater:SpecificHeatValue","Value of the sea water specific heat.","J.kg-1.K-1","3988.0"
