"idtModelComponent","parentComponentID","modelID","name","description","type","level","contactid"
"51","NULL","7","Aerosols","The model includes interactive schemes for sulphate, sea salt, black carbon from fossil-fuel emissions, organic carbon from fossil-fuel emissions, mineral dust, and biomass-burning aerosols. The model also includes a fixed monthly climatology of mass-mixing ratios of secondary organic aerosols from terpene emissions (biogenic aerosols).","Aerosols","1","27"
"52","51","7","Aerosol Transport","Aerosol transport is done by the HadGEM2 tracer advection scheme, which includes large-scale advection (Davies et al. 2005), convective transport (Gregory and Rowntree, 1990), and boundary layer mixing (Lock et al., 2000).;","AerosolTransport","2","27"
"53","51","7","Aerosol Emission and Concentration","Emissions for the sulphur cycle include emissions of ammonium sulphate aerosol precursors: sulphur dioxide and dimethylsulphide. For sulphur dioxide, anthropogenic emissions are split into surface and chimney-level emissions. Natural emissions from volcanoes are provided as a 3D field. DMS emissions are provided by the ocean biogeochemistry scheme over the ocean, and provided through a dataset over land surfaces. All sulphur-cycle emissions are expressed in term of mass of sulphur within the model. For black-carbon and organic-carbon aerosols from fossil-fuel and biofuel emissions, emissions are provided at near-surface level. These emissions are expressed in term of mass of carbon. For biomass-burning aerosol, emissions are provided as two fields: surface emissions, and high-level emissions. The latter field is homogeneously distributed across the boundary layer. Biomass emissions are expressed in term of mass of carbon. Emissions for sea-salt and mineral dust aerosols are computed interactively from the modelled meteorology and soil properties by their respective schemes. The climatology of monthly-averaged mass-mixing ratios of secondary organic aerosol from terpene emissions was derived from the chemistry-transport model STOCHEM (Derwent et al., 2003).

2D emissions: All emission fields are provided as monthly means, which are time interpolated by the model every 5 days. Sulphur dioxide emissions are derived from sector-based emissions datasets for IPCC AR5 (Lamarque et al., 2009). Emissions for all sectors are considered surface emissions, except for energy emissions and half of industrial emissions which are considered chimney-level emissions. Emissions for land-based dimethylsulphide are taken from Spiro et al. (1992). Anthropogenic emissions for black carbon and organic carbon are from the sum of all sector-based emissions in the IPCC AR5 dataset. They are emitted in the second level of the model (near-surface emissions). Anthropogenic emissions for biomass-burning aerosol are the sum of IPCC AR5 emissions for black and organic carbon from biomass-burning emissions. Grass fire emissions are assumed to be surface emissions, while forest fire emissions are distributed homogeneously across the boundary layer. Emissions based on interactive schemes: Sea-salt and mineral dust aerosol emissions are computed interactively depending on modelled near-surface wind speeds and soil properties (Jones et al., 2001; Woodward, 2001).

The only 3D aerosol-related emissions used in the model are natural emissions of sulphur dioxide from background volcanoes (Andres and Kasgnoc, 1998). Aircraft emissions of aerosol precursors or primary [aerosols] are not included in the model.","AerosolEmissionAndConc","2","27"
"56","51","7","Aerosol Model","The model includes interactive schemes for sulphate, sea salt, black carbon from fossil-fuel emissions, organic carbon from fossil-fuel emissions, mineral dust, and biomass-burning aerosols. The model also includes a fixed monthly climatology of mass-mixing ratios of secondary organic aerosols from terpene emissions (biogenic aerosols). All aerosol species, except sea-salt and biogenic aerosols, are advected using the tracer advection scheme and undergo wet and dry deposition. Wet deposition accounts for re-evaporation of precipitation (Bellouin et al., 2007). All aerosol species exert a direct effect (scattering and absorption of shortwave and longwave radiation) and thereby also a semi-direct effect (impact on atmospheric temperature and cloud profiles of aerosol absorption). All aerosol species, except black carbon and mineral dust, also contribute to both the first and second indirect effects on clouds, modifying cloud albedo and precipitation efficiency, respectively. The version of the sulphur cycle included in HadGEM2 is described in Jones et al. (2001) and Roberts and Jones (2004) with further improvements described hereafter. The sulphate scheme is a modal scheme where the free aerosol is assumed to have a log-normal size distribution in the Aitken and accumulation size ranges, which include particles with a radius less than 0.05 and 0.5 m, respectively. Sulphate aerosol may also be in a dissolved mode where layer clouds are present, thus affecting the cloud droplet size and exerting first and second indirect effects (modification of cloud albedo and precipitation efficiency, respectively). The sulphur cycle in HadGEM2 also includes improvements described by Bellouin et al. (2007): condensation of sulphuric acid from dry oxidation of sulphur dioxide and dimethysulphide, and conversion from Aitken to accumulation mode particles by condensation. In addition, the oxidation of SO2 and DMS is now using oxidant concentrations (OH, HO2, H2O2, O3) provided by the interactive tropospheric chemistry scheme and depleted oxidants are fed back to the chemistry (alternatively, oxidant concentrations can be prescribed). Emissions of dimethylsulphide from the ocean are provided by the ocean biogeochemistry scheme. The sea salt scheme is a simple diagnostic scheme depending on wind speed and height above the surface to determine the number concentration of sea salt particles in two size modes (Jones et al., 2001). Schemes for black carbon from fossil-fuel emissions (Roberts and Jones, 2004), biomass-burning, and organic carbon from fossil-fuel emissions (Collins et al, 2008) include modes for freshly emitted particles that gradually age into another, more hygroscopic mode; there is also a mode for aerosols that have become incorporated into cloud droplets. Black carbon is considered to be slightly hygroscopic, only becoming incorporated into cloud droplets by diffusion, whereas organic carbon and biomass-burning aerosols are considered to act as cloud condensation nuclei. The mineral dust scheme is based on Woodward (2001) with further improvements made to the dust emission scheme (described in Collins et al, 2008): changes to values of the impact threshold friction velocity and parameterisation of the effect of soil moisture. The modelled horizontal flux includes a wide size range of particles from .06 to 2000 microns in 9 bins. Vertical flux is calculated for particles up to 60 microns in 6 bins, the size distribution following that of the horizontal flux in this range.","AerosolModel","2","27"
"57","NULL","7","Atmosphere","The model incorporates the Met Office's New Dynamics framework that provides a non-hydrostatic, fully compressible, deep atmosphere formulation with fewer approximations to the basic equations; semi-Lagrangian advection of all prognostic variables except density, permitting relatively long timesteps to be used at higher resolution; a conservative and monotone treatment of tracer transport; and improved geostrophic adjustment properties bringing better balance to the coupling. The model includes interactive modelling of atmospheric aerosols, driven by surface and elevated emissions and including tropospheric chemical processes as well as physical removal processes such as washout. The aerosol species represented in the model are sulphate, black carbon, biomass smoke, sea salt, organic carbon, mineral dust and a biogenic climatology. The atmospheric component has a horizontal resolution of 1.25 degrees of latitude by 1.875 degrees of longitude with 38 layers in the vertical extending to over 39 km in height. The model uses the Arakawa C-grid horizontally and the Charney-Phillips grid vertically. The atmospheric timestep period is 30 minutes (48 timesteps per day).","Atmosphere","1","17"
"58","57","7","Atmospheric Dynamical Core","The model's dynamical core (Davies et al., 2005) was designed to avoid unnecessary approximations and includes the following features: (i) non-hydrostatic, fully compressible, deep atmosphere formulation using a terrain following, height-based vertical coordinate; (ii) discretisation using a horizontally staggered Arakawa C-grid and vertically staggered Charney-Phillips grid; (iii) semi-Lagrangian advection for all prognostic variables, except density, with conservative and monotone treatment of tracers, (iv) Eulerian treatment of the continuity equation for mass conservation; (v) predictor-corrector implementation of a two time level, semi-implicit, time integration scheme, (vi) three dimensional iterative solution of a variable-coefficient elliptic equation for the pressure increment at each time step.","AtmosDynamicalCore","2","17"
"59","58","7","Atmospheric Advection","A semi-Lagrangian advection scheme is used. The advection of potential temperature, moisture, density and winds are treated separately. Moisture is conserved using a non-hydrostatic scheme. ","AtmosAdvection","3","17"
"60","57","7","Atmospheric Radiation","The radiation code is the solution to the two-stream equations by Edwards and Slingo (1996), with some developments. It includes absorption by CO2, H2O, O3, O2, N2O, CH4 and CFCs. The longwave band from 1200 to 1500 cm-1 has been split at 1330 cm-1 in order to better represent the overlap between CH4 and N2O. Gaseous absorption is based on the updated High-Resolution Transmission (HITRAN) 2000 database (Rothman et al., 2003). The water vapour continuum is version 2.4 of the Clough-Kneizys-Davies (CKD) formulation (Clough et al., 1992) and has been included in the shortwave region. Treatment of the effects of non-spherical ice cloud particles is determined using the parameterisation by Kristjansson et al. (2000). The sea surface albedo is based on the functional form of Barker and Li (1995), modified in the light of aircraft data, and the land-surface albedo is described by Essery et al. (2003). The direct (scattering and absorption of radiation) and indirect radiative effects of aerosols is included.","AtmosRadiation","2","17"
"61","57","7","Atmospheric Convective Turbulent Cloud","The convection scheme is based on the mass flux scheme of Gregory and Rowntree (1990) but with major modifications. The scheme is explicitly coupled to the boundary layer scheme, and cumulus convection is similarly diagnosed using the mean humidity profile. If cumulus convection is diagnosed, then the boundary layer scheme is capped at the convective cloud base. The convection scheme is then triggered from the lifting condensation level in order to parameterise transports from cloud base upward. Deep and shallow convection are diagnosed separately and different thermodynamic closures are applied. In shallow convection the closure is based on Grant (2001); for deep convection a CAPE closure is used, based on Fritsch and Chappell (1980). A convective momentum transport (CMT) parameterisation is used for both deep and shallow convection, based on a flux-gradient relationship obtained from the stress budget. A cloud-base closure for CMT is used, based on the assumption that large-scale horizontal pressure gradients should be continuous across cloud base. Entrainment and detrainment rates for shallow convection are parameterised as in Grant and Brown (1999). The radiative effects of convective anvils are represented by specifying a vertically varying convective cloud amount (Gregory 1999). The model includes adaptive detrainment parameterisation to produce smoother mass-flux profiles and more realistic diabatic heating profiles. In addition the depth criterion for shallow convection has been removed to allow shallower clouds to rain provided their water content is sufficiently high.","AtmosConvectTurbulCloud","2","17"
"62","61","7","Atmospheric Cloud Scheme","The large-scale cloud scheme for liquid cloud is that of Smith (1990), in which cloud water and cloud amount are diagnosed from total moisture and liquid water potential temperature using a triangular probability distribution function. The width of this distribution is diagnosed from the variability of the moisture and temperature of the surrounding grid points. A representation of the difference between cloud area fraction and cloud volume fraction is made by subdividing a single model layer into three. HadGEM1 and later models introduced an updated version of the Wilson and Ballard (1999) microphysics scheme. Transfers between water categories (ice, liquid water, vapour and rain) are calculated based on physical process equations using particle size information. ","AtmosCloudScheme","3","17"
